ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
113;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1966;1961-1970;1950-1980;90;90;398;308;5
114;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1968;1961-1970;1950-1980;59;60;238;179;5
115;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1968;1961-1970;1950-1980;60;60;240;180;5
120;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1973;1971-1980;1950-1980;30;30;120;90;5
120;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1973;1971-1980;1950-1980;30;30;120;90;5
148;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1972;1971-1980;1950-1980;144;140;649;505;9
154;Muu kolme või enama korteriga elamu;11222;Harju maakond; Jõelähtme vald; Kostivere alevik;1972;1971-1980;1950-1980;36;40;144;108;3
158;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Kohila vald; Kohila alev;1990;1981-1990;>1980;60;60;240;180;5
176;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1970;1961-1970;1950-1980;89;90;377;288;5
194;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Haabersti linnaosa;1975;1971-1980;1950-1980;144;140;612;468;9
197;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1970;1961-1970;1950-1980;89;90;378;289;5
199;Muu kolme või enama korteriga elamu;12201;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1971;1971-1980;1950-1980;61;60;239;178;5
200;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1973;1971-1980;1950-1980;72;70;306;234;9
203;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Haabersti linnaosa;1977;1971-1980;1950-1980;72;70;306;234;9
210;Muu kolme või enama korteriga elamu;11222;Harju maakond; Keila linn; Keila linn;1986;1981-1990;>1980;60;60;240;180;5
223;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Laagri alevik;1979;1971-1980;1950-1980;60;60;240;180;5
232;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1975;1971-1980;1950-1980;30;30;120;90;5
236;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1973;1971-1980;1950-1980;18;20;85;67;3
247;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1971;1971-1980;1950-1980;60;60;240;180;5
264;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Vinni vald; Vinni alevik;1969;1961-1970;1950-1980;60;60;240;180;5
270;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1974;1971-1980;1950-1980;72;70;306;234;9
271;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1974;1971-1980;1950-1980;143;140;609;466;9
281;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1972;1971-1980;1950-1980;264;260;282;18;7
285;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1965;1961-1970;1950-1980;90;90;401;311;5
288;Muu kolme või enama korteriga elamu;12339;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1966;1961-1970;1950-1980;60;60;240;180;5
292;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Rapla linn;1972;1971-1980;1950-1980;60;60;241;181;5
299;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1971;1971-1980;1950-1980;60;60;238;178;5
302;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Laagri alevik;1992;1991-2000;>1980;18;20;99;81;3
309;Muu kolme või enama korteriga elamu;11222;Harju maakond; Harku vald; Tabasalu alevik;1973;1971-1980;1950-1980;32;30;140;108;3
315;Muu kolme või enama korteriga elamu;11222;Harju maakond; Jõelähtme vald; Loo alevik;1969;1961-1970;1950-1980;60;60;238;178;5
321;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Rapla linn;1988;1981-1990;>1980;60;60;240;180;5
333;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Saue linn;1972;1971-1980;1950-1980;29;30;138;109;5
334;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Saue linn;1970;1961-1970;1950-1980;30;30;140;110;5
335;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Saue linn;1970;1961-1970;1950-1980;30;30;140;110;5
345;Muu kolme või enama korteriga elamu;11222;Harju maakond; Harku vald; Tabasalu alevik;1969;1961-1970;1950-1980;35;40;143;108;3
352;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Kambja vald; Räni alevik;1975;1971-1980;1950-1980;90;90;360;270;5
355;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Haabersti linnaosa;1979;1971-1980;1950-1980;72;70;306;234;9
358;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1964;1961-1970;1950-1980;40;40;150;110;5
367;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1971;1971-1980;1950-1980;88;90;376;288;5
370;Muu kolme või enama korteriga elamu;12201;Tartu maakond; Tartu linn; Tartu linn;1971;1971-1980;1950-1980;119;120;510;391;5
376;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1965;1961-1970;1950-1980;60;60;240;180;5
380;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saku vald; Saku alevik;1977;1971-1980;1950-1980;60;60;240;180;5
382;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1966;1961-1970;1950-1980;90;90;398;308;5
391;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saku vald; Saku alevik;1981;1981-1990;>1980;60;60;240;180;5
TP22;Muu kolme või enama korteriga elamu;11222;Harju maakond; Keila linn; Keila linn;1982 (2019);1981-1990;>1980;60;60;241;181;5
TP23;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Puhja alevik;1973 (2019);1971-1980;>1980;36;40;144;108;3
TP24;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Puhja alevik;1973 (2019);1971-1980;>1980;36;40;144;108;3
TP25;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Puhja alevik;1973 (2019);1971-1980;>1980;36;40;144;108;3
TP26;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Puhja alevik;1973 (2019);1971-1980;>1980;36;40;144;108;3
294;Muu kolme või enama korteriga elamu;12721;Rapla maakond; Märjamaa vald; Märjamaa alev;1981;1981-1990;>1980;34;30;124;90;3
388;Muu kolme või enama korteriga elamu;11222;Harju maakond; Keila linn; Keila linn;1979;1971-1980;1950-1980;6;10;27;21;3
11;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1962;1961-1970;1950-1980;18;20;72;54;3
157;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1962;1961-1970;1950-1980;32;30;136;104;4
69;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1965;1961-1970;1950-1980;16;20;67;51;2
342;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Tori vald; Sauga alevik;1983;1981-1990;>1980;12;10;60;48;3
220;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1966;1961-1970;1950-1980;40;40;170;130;5
324;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1964;1961-1970;1950-1980;32;30;136;104;4
214;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1965;1961-1970;1950-1980;40;40;170;130;5
37;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Haage küla;1989;1981-1990;>1980;12;10;63;51;3
64;Muu kolme või enama korteriga elamu;11222;Lääne maakond; Haapsalu linn; Uuemõisa alevik;1988;1981-1990;>1980;12;10;60;48;3
75;Muu kolme või enama korteriga elamu;12744;Lääne maakond; Haapsalu linn; Uuemõisa alevik;1987;1981-1990;>1980;12;10;52;40;3
341;Muu kolme või enama korteriga elamu;11222;Lääne maakond; Lääne-Nigula vald; Risti alevik;1987;1981-1990;>1980;12;10;51;39;3
147;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Vinni vald; Vinni alevik;1986;1981-1990;>1980;12;10;64;52;3
142;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Kuimetsa küla;1987;1981-1990;>1980;12;10;52;40;3
187;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1992;1991-2000;>1980;12;10;66;54;3
70;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Helme alevik;1983;1981-1990;>1980;12;10;51;39;3
172;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1971;1971-1980;1950-1980;12;10;60;48;3
375;Muu kolme või enama korteriga elamu;11222;Valga maakond; Otepää vald; Puka alevik;1985;1981-1990;>1980;12;10;60;48;3
58;Muu kolme või enama korteriga elamu;11222;Jõgeva maakond; Põltsamaa vald; Põltsamaa linn;1983;1981-1990;>1980;8;10;44;36;2
52;Muu kolme või enama korteriga elamu;11222;Jõgeva maakond; Põltsamaa vald; Põltsamaa linn;1977;1971-1980;1950-1980;8;10;44;36;2
59;Muu kolme või enama korteriga elamu;11222;Jõgeva maakond; Jõgeva vald; Sadala alevik;1982;1981-1990;>1980;12;10;64;52;3
36;Muu kolme või enama korteriga elamu;11222;Harju maakond; Harku vald; Harkujärve küla;1988;1981-1990;>1980;8;10;34;26;2
93;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1972;1971-1980;1950-1980;18;20;72;54;3
179;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1992;1991-2000;>1980;12;10;52;40;3
105;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1974;1971-1980;1950-1980;15;20;66;51;3
106;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1974;1971-1980;1950-1980;15;20;66;51;3
132;Muu kolme või enama korteriga elamu;11222;Harju maakond; Raasiku vald; Aruküla alevik;1976;1971-1980;1950-1980;8;10;44;36;2
133;Muu kolme või enama korteriga elamu;11222;Harju maakond; Raasiku vald; Aruküla alevik;1976;1971-1980;1950-1980;8;10;44;36;2
274;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Oru küla;1987;1981-1990;>1980;12;10;64;52;3
44;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Riisipere alevik;1973;1971-1980;1950-1980;18;20;72;54;3
180;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1992;1991-2000;>1980;12;10;52;40;3
242;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1963;1961-1970;1950-1980;60;60;255;195;5
279;Muu kolme või enama korteriga elamu;11222;Ida-Viru maakond; Jõhvi vald; Jõhvi linn;1988;1981-1990;>1980;24;20;105;81;3
