ID,Kasutusotstarve,Kasutusotstarve_ID,Maakond,KOV,KOV_voi_LinnaOsa,Esmane_Kasutuselevotu_Aasta,Ajastu,Aeg,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Rummide_arv_vannitoata,Maksimaalne_Korruste_Arv,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Mitu otsaseina soojustatud?,Kande- ja jäigastavate konstruktsioonide materjal,Välisseina liik,Välisseina välisviimistluse materjal,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis,Aken/sein,Heated/6.25,A märgis/A arv(köetavast pinnast),Akende pindala vastavalt tubade arvule,A märgis/A arv(ktubade arv),kütte kommentaar
197,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1970,1961-1970,1950-1980,89,90,378,289,5,0,6,1,17.6,17.5,14.2,92,1093,5674.4,1325.7,4761,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,katusekivi,kaugküte,0,1,0,0,1,0,B,1760,778,0.307,761.76,0.979125964,656.03,0.843226221,pole
199,Muu kolme või enama korteriga elamu,12201,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1971,1971-1980,1950-1980,61,60,239,178,5,0,4,1,15.6,15.5,14.6,57.7,635,3350.9,638.2,2964,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv. muu. fassaadiplaat (seal hulgas tsementkiudplaat),bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,B,1266.8,545.6,0.301,474.24,0.869208211,404.06,0.740579179,pole
200,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Põhja-Tallinna linnaosa,1973,1971-1980,1950-1980,72,70,306,234,9,2,2,1,26.5,26.5,0,0,572,4712.6,942.8,4375,suurpaneel,8,4,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,C,2207,645,0.226,700.00,1.085271318,531.18,0.823534884,pole
203,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Haabersti linnaosa,1977,1971-1980,1950-1980,72,70,306,234,9,2,2,1,26.6,26.5,0,0,595,4837.2,990.5,4281,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,1,0,C,3609,589.8,0.140,684.96,1.161342828,531.18,0.900610376,pole
210,Muu kolme või enama korteriga elamu,11222,Harju maakond, Keila linn, Keila linn,1986,1981-1990,>1980,60,60,240,180,5,0,4,1,15.8,16,0,0,817.4,3957.4,911.6,3262,suurpaneel,4,0,0,monteeritav raudbetoon,väike- või suurplokk (vaht. mull. kergkruus. kärg. betoon jms),fassaadiplaat (seal hulgas tsementkiudplaat),bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,B,1638,491,0.231,521.92,1.062973523,408.6,0.832179226,pole
223,Muu kolme või enama korteriga elamu,11222,Harju maakond, Saue vald, Laagri alevik,1979,1971-1980,1950-1980,60,60,240,180,5,0,4,1,16.2,16,13.2,62.1,867,4077.1,1042.4,3304.7,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,lokaalküte. kaugküte,1,0,0,1,0,0,C,0,1,0,528.75,528.752,414,414,pole
232,Muu kolme või enama korteriga elamu,11222,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1975,1971-1980,1950-1980,30,30,120,90,5,0,2,1,14.4,14.5,25.6,62.9,788.9,3773.8,576.6,3331.2,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu. krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,0,A,1199,551,0.315,532.99,0.967317604,204.3,0.370780399,pole
236,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Nõmme linnaosa,1973,1971-1980,1950-1980,18,20,85,67,3,0,3,1,11.4,11.5,0,0,448,1320.4,422.3,1012.8,suurpaneel,4,0,0,tellis,väike- või suurplokk (vaht. mull. kergkruus. kärg. betoon jms). tellis,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,0,0,E,742,184,0.199,162.05,0.880695652,152.09,0.826576087,pole
247,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1971,1971-1980,1950-1980,60,60,240,180,5,0,4,1,15.7,15.5,0,0,675,3516.3,828.9,2961,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,1320.1,533.3,0.288,473.76,0.888355522,408.6,0.766172886,pole
264,Muu kolme või enama korteriga elamu,11222,Lääne-Viru maakond, Vinni vald, Vinni alevik,1969,1961-1970,1950-1980,60,60,240,180,5,0,4,1,15,15,0,0,676,3365.3,648.9,2567,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,0,1,0,0,1,1,C,1416.3,532.2,0.273,410.72,0.771739947,408.6,0.767756483,pole
270,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kristiine linnaosa,1974,1971-1980,1950-1980,72,70,306,234,9,2,2,1,28.7,28.5,0,0,580,4653.7,984.5,3864.4,suurpaneel,8,4,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu. krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,C,2086.4,771.6,0.270,618.30,0.801327112,531.18,0.688413686,pole
271,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kristiine linnaosa,1974,1971-1980,1950-1980,143,140,609,466,9,4,4,1,29.4,29.5,0,0,1178,9354.9,1871.6,8193.6,suurpaneel,12,8,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,C,4023.7,1477.3,0.269,1310.98,0.887413525,1057.82,0.71604955,pole
281,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Põhja-Tallinna linnaosa,1972,1971-1980,1950-1980,264,260,282,18,7,2,2,1,24.9,25,0,0,1399.2,8853.6,2351.8,8779.3,suurpaneel,32,28,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,fassaadiplaat (seal hulgas tsementkiudplaat). krohv,bituumen või  PVC  plaat või rullmaterjal,lokaalküte,1,0,0,1,0,1,D,3635,872.6,0.194,1404.69,1.609773092,40.86,0.046825579,pole
285,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1965,1961-1970,1950-1980,90,90,401,311,5,0,6,1,15.6,15.5,0,0,1085,5673.8,1301.4,4793,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,0,1,C,2399,788.5,0.247,766.88,0.97258085,705.97,0.895332911,pole
288,Muu kolme või enama korteriga elamu,12339,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1966,1961-1970,1950-1980,60,60,240,180,5,0,4,1,15.8,16,12.1,52.5,748,3329.5,630.9,2780.3,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,1156,522.64,0.311,444.85,0.851155671,408.6,0.781800092,pole
292,Muu kolme või enama korteriga elamu,11222,Rapla maakond, Rapla vald, Rapla linn,1972,1971-1980,1950-1980,60,60,241,181,5,0,4,1,15.6,15.5,12.2,57.7,695,3339,637.8,2961,suurpaneel,4,1,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,fassaadiplaat (seal hulgas tsementkiudplaat). muu,bituumen või  PVC  plaat või rullmaterjal,lokaalküte. kaugküte,1,0,0,0,1,1,C,1873.1,623.1,0.250,473.76,0.760327395,410.87,0.659396566,pole
299,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1971,1971-1980,1950-1980,60,60,238,178,5,0,4,1,15.7,15.5,0,0,675,3517,830,2961,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,D,1392,471,0.253,473.76,1.005859873,404.06,0.857876858,pole
302,Muu kolme või enama korteriga elamu,11222,Harju maakond, Saue vald, Laagri alevik,1992,1991-2000,>1980,18,20,99,81,3,0,3,1,14.4,14.5,0,0,578,2029.8,640.2,1479.6,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,plekk,kaugküte,0,1,0,1,0,0,D,698.8,229.3,0.247,236.74,1.032429132,183.87,0.801875273,pole
309,Muu kolme või enama korteriga elamu,11222,Harju maakond, Harku vald, Tabasalu alevik,1973,1971-1980,1950-1980,32,30,140,108,3,0,5,1,10.2,10,12.2,57.6,755,2390.4,764.2,1717.4,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,D,1136.5,365.3,0.243,274.78,0.752214618,245.16,0.671119628,pole
315,Muu kolme või enama korteriga elamu,11222,Harju maakond, Jõelähtme vald, Loo alevik,1969,1961-1970,1950-1980,60,60,238,178,5,0,4,1,15,15,0,0,676,3513.8,820.5,2968,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,lokaalküte. kaugküte,1,0,0,0,1,1,B,1873.1,623.1,0.250,474.88,0.76212486,404.06,0.648467341,pole
321,Muu kolme või enama korteriga elamu,11222,Rapla maakond, Rapla vald, Rapla linn,1988,1981-1990,>1980,60,60,240,180,5,0,4,1,15.9,16,13.4,62.5,772,3743.8,734.7,3297.4,suurpaneel,12,8,0,väike- või suurplokk. näiteks vaht. mull. kergkruus. kärg. betoon,väike- või suurplokk (vaht. mull. kergkruus. kärg. betoon jms),krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,C,1891.5,522.3,0.216,527.58,1.010116791,408.6,0.782309018,pole
333,Muu kolme või enama korteriga elamu,11222,Harju maakond, Saue vald, Saue linn,1972,1971-1980,1950-1980,29,30,138,109,5,0,2,1,15.1,15,0,0,424,2135.9,468.3,1808,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,0,B,457.3,204.8,0.309,289.28,1.4125,247.43,1.208154297,pole
334,Muu kolme või enama korteriga elamu,11222,Harju maakond, Saue vald, Saue linn,1970,1961-1970,1950-1980,30,30,140,110,5,0,2,1,15.5,15.5,0,0,416,2189.8,505.4,1812,suurpaneel,4,0,2,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,pole,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,0,B,820,317.6,0.279,289.92,0.912846348,249.7,0.786209068,pole
335,Muu kolme või enama korteriga elamu,11222,Harju maakond, Saue vald, Saue linn,1970,1961-1970,1950-1980,30,30,140,110,5,0,2,1,15.5,15.5,0,0,416,2181.9,497.1,1812,suurpaneel,4,0,2,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,pole,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,0,B,820,317.6,0.279,289.92,0.912846348,249.7,0.786209068,pole
